Q2,x,W,g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot)
0.62,,2.932,0.034,0.057,0.013,0.0585
0.595,,2.969,0.100,0.045,0.012,0.0466
0.744,,2.83,0.132,0.047,0.015,0.0493
0.718,,2.877,0.028,0.033,0.014,0.0358
0.711,,2.926,−0.006,0.028,0.012,0.0305
0.694,,2.957,−0.025,0.049,0.012,0.0504
0.893,,2.679,0.095,0.056,0.018,0.0588
0.87,,2.727,0.062,0.036,0.017,0.0398
0.851,,2.775,0.039,0.027,0.016,0.0314
0.85,,2.826,0.022,0.024,0.014,0.0278
0.849,,2.876,0.007,0.022,0.013,0.0256
0.835,,2.922,−0.013,0.022,0.012,0.0251
1.076,,2.481,0.141,0.089,0.021,0.0914
1.065,,2.528,0.057,0.045,0.02,0.0492
1.044,,2.577,0.099,0.033,0.019,0.0381
1.011,,2.625,0.007,0.027,0.019,0.033
1.006,,2.675,0.081,0.024,0.017,0.0294
1.004,,2.725,0.054,0.022,0.016,0.0272
1.004,,2.775,0.068,0.022,0.015,0.0266
1.011,,2.825,0.042,0.021,0.014,0.0252
1.008,,2.875,0.002,0.019,0.013,0.023
0.968,,2.91,−0.021,0.038,0.012,0.0398
1.281,,2.276,0.215,0.068,0.024,0.0721
1.254,,2.328,0.158,0.047,0.024,0.0528
1.239,,2.378,0.042,0.037,0.023,0.0436
1.212,,2.426,0.050,0.03,0.022,0.0372
1.202,,2.476,0.112,0.026,0.021,0.0334
1.201,,2.526,0.106,0.025,0.02,0.032
1.213,,2.575,0.111,0.023,0.019,0.0298
1.201,,2.626,0.098,0.023,0.018,0.0292
1.2,,2.675,0.050,0.022,0.017,0.0278
1.201,,2.725,0.070,0.021,0.016,0.0264
1.2,,2.775,0.073,0.02,0.015,0.025
1.205,,2.826,0.059,0.019,0.013,0.023
1.181,,2.868,0.080,0.025,0.012,0.0277
1.508,,2.029,0.300,0.073,0.028,0.0782
1.492,,2.079,0.242,0.059,0.028,0.0653
1.472,,2.125,0.109,0.045,0.027,0.0525
1.453,,2.175,0.234,0.036,0.026,0.0444
1.445,,2.225,0.156,0.033,0.026,0.042
1.437,,2.274,0.123,0.031,0.025,0.0398
1.429,,2.324,0.175,0.028,0.024,0.0369
1.431,,2.374,0.113,0.027,0.023,0.0355
1.437,,2.425,0.143,0.025,0.022,0.0333
1.439,,2.476,0.110,0.024,0.021,0.0319
1.434,,2.525,0.107,0.023,0.02,0.0305
1.436,,2.575,0.129,0.023,0.019,0.0298
1.435,,2.626,0.086,0.021,0.018,0.0277
1.429,,2.676,0.137,0.021,0.017,0.027
1.43,,2.725,0.092,0.02,0.016,0.0256
1.427,,2.775,0.067,0.02,0.014,0.0244
1.417,,2.821,0.059,0.022,0.013,0.0256
1.785,,1.676,0.271,0.077,0.036,0.085
1.778,,1.726,0.267,0.066,0.035,0.0747
1.763,,1.775,0.350,0.059,0.033,0.0676
1.743,,1.826,0.292,0.052,0.031,0.0605
1.719,,1.876,0.218,0.049,0.03,0.0575
1.708,,1.925,0.083,0.043,0.029,0.0519
1.702,,1.976,0.286,0.039,0.029,0.0486
1.702,,2.025,0.204,0.038,0.029,0.0478
1.705,,2.074,0.214,0.034,0.028,0.044
1.699,,2.126,0.193,0.033,0.028,0.0433
1.718,,2.175,0.212,0.031,0.027,0.0411
1.713,,2.226,0.223,0.03,0.026,0.0397
1.712,,2.275,0.196,0.027,0.025,0.0368
1.708,,2.325,0.138,0.026,0.024,0.0354
1.695,,2.375,0.118,0.025,0.023,0.034
1.709,,2.425,0.119,0.025,0.022,0.0333
1.717,,2.475,0.141,0.023,0.021,0.0311
1.715,,2.525,0.145,0.022,0.02,0.0297
1.703,,2.576,0.118,0.021,0.019,0.0283
1.711,,2.627,0.117,0.021,0.018,0.0277
1.699,,2.675,0.109,0.021,0.017,0.027
1.713,,2.724,0.128,0.02,0.016,0.0256
1.675,,2.771,0.098,0.022,0.015,0.0266
1.589,,2.806,0.157,0.097,0.015,0.0982
2.063,,1.325,0.239,0.097,0.031,0.1018
2.047,,1.377,0.245,0.086,0.035,0.0928
2.049,,1.428,0.272,0.08,0.038,0.0886
2.04,,1.477,0.412,0.073,0.039,0.0828
2.044,,1.526,0.433,0.067,0.039,0.0775
2.033,,1.575,0.402,0.061,0.038,0.0719
2.029,,1.624,0.376,0.055,0.037,0.0663
2.053,,1.676,0.373,0.05,0.036,0.0616
2.026,,1.727,0.406,0.049,0.035,0.0602
2.04,,1.776,0.274,0.049,0.034,0.0596
2.047,,1.826,0.365,0.045,0.032,0.0552
2.041,,1.877,0.247,0.044,0.031,0.0538
2.043,,1.925,0.306,0.041,0.03,0.0508
2.045,,1.975,0.259,0.037,0.03,0.0476
2.036,,2.027,0.258,0.035,0.029,0.0455
2.044,,2.076,0.268,0.033,0.029,0.0439
2.038,,2.127,0.251,0.031,0.028,0.0418
2.043,,2.175,0.265,0.03,0.027,0.0404
2.02,,2.225,0.208,0.028,0.027,0.0389
2.05,,2.276,0.207,0.028,0.025,0.0375
2.033,,2.324,0.177,0.026,0.025,0.0361
2.034,,2.375,0.173,0.024,0.024,0.0339
2.036,,2.425,0.210,0.024,0.022,0.0326
2.036,,2.476,0.185,0.024,0.021,0.0319
2.039,,2.525,0.180,0.023,0.02,0.0305
2.038,,2.575,0.160,0.023,0.019,0.0298
2.03,,2.624,0.186,0.023,0.018,0.0292
2.032,,2.674,0.156,0.021,0.017,0.027
1.977,,2.72,0.153,0.029,0.016,0.0331
2.46,,1.278,0.067,0.099,0.028,0.1029
2.41,,1.324,0.179,0.093,0.031,0.098
2.432,,1.375,0.342,0.081,0.035,0.0882
2.433,,1.428,0.078,0.076,0.038,0.085
2.433,,1.48,0.256,0.072,0.04,0.0824
2.44,,1.531,0.367,0.065,0.04,0.0763
2.425,,1.579,0.384,0.061,0.039,0.0724
2.437,,1.627,0.403,0.054,0.038,0.066
2.436,,1.676,0.325,0.049,0.037,0.0614
2.419,,1.725,0.281,0.046,0.036,0.0584
2.425,,1.775,0.339,0.044,0.035,0.0562
2.425,,1.826,0.346,0.044,0.033,0.055
2.427,,1.876,0.285,0.043,0.032,0.0536
2.427,,1.925,0.359,0.043,0.031,0.053
2.43,,1.975,0.231,0.037,0.031,0.0483
2.42,,2.026,0.256,0.037,0.03,0.0476
2.426,,2.075,0.274,0.034,0.03,0.0453
2.42,,2.124,0.274,0.033,0.029,0.0439
2.434,,2.175,0.273,0.03,0.028,0.041
2.411,,2.226,0.235,0.029,0.027,0.0396
2.43,,2.275,0.199,0.029,0.026,0.0389
2.433,,2.325,0.220,0.028,0.025,0.0375
2.427,,2.375,0.278,0.027,0.024,0.0361
2.426,,2.426,0.207,0.026,0.023,0.0347
2.42,,2.475,0.265,0.026,0.022,0.0341
2.425,,2.525,0.200,0.026,0.021,0.0334
2.425,,2.575,0.195,0.025,0.02,0.032
2.396,,2.624,0.188,0.027,0.019,0.033
2.31,,2.665,0.210,0.048,0.019,0.0516
2.87,,1.372,0.352,0.09,0.036,0.0969
2.891,,1.428,0.318,0.076,0.039,0.0854
2.851,,1.478,0.509,0.082,0.04,0.0912
2.919,,1.525,0.482,0.071,0.04,0.0815
2.875,,1.575,0.372,0.062,0.039,0.0732
2.888,,1.624,0.399,0.058,0.038,0.0693
2.888,,1.674,0.436,0.051,0.037,0.063
2.881,,1.726,0.445,0.05,0.036,0.0616
2.902,,1.776,0.359,0.047,0.035,0.0586
2.901,,1.826,0.416,0.046,0.034,0.0572
2.9,,1.877,0.346,0.044,0.033,0.055
2.893,,1.925,0.375,0.043,0.032,0.0536
2.898,,1.975,0.302,0.041,0.032,0.052
2.876,,2.025,0.229,0.037,0.031,0.0483
2.871,,2.074,0.286,0.038,0.031,0.049
2.874,,2.124,0.291,0.033,0.03,0.0446
2.895,,2.176,0.295,0.034,0.029,0.0447
2.889,,2.225,0.343,0.032,0.028,0.0425
2.895,,2.275,0.260,0.031,0.027,0.0411
2.88,,2.325,0.216,0.031,0.026,0.0405
2.891,,2.376,0.262,0.03,0.025,0.0391
2.879,,2.425,0.265,0.031,0.024,0.0392
2.879,,2.475,0.222,0.03,0.023,0.0378
2.853,,2.523,0.238,0.033,0.022,0.0397
2.766,,2.57,0.192,0.049,0.022,0.0537
3.45,,1.375,0.369,0.096,0.038,0.1032
3.453,,1.426,0.425,0.098,0.04,0.1058
3.42,,1.475,0.489,0.083,0.041,0.0926
3.457,,1.525,0.459,0.083,0.041,0.0926
3.424,,1.575,0.469,0.068,0.04,0.0789
3.444,,1.625,0.433,0.065,0.039,0.0758
3.433,,1.675,0.362,0.059,0.038,0.0702
3.425,,1.724,0.347,0.054,0.037,0.0655
3.459,,1.775,0.287,0.055,0.036,0.0657
3.447,,1.826,0.353,0.052,0.035,0.0627
3.467,,1.876,0.382,0.052,0.034,0.0621
3.465,,1.926,0.368,0.048,0.033,0.0582
3.445,,1.976,0.294,0.047,0.033,0.0574
3.431,,2.026,0.313,0.043,0.032,0.0536
3.436,,2.076,0.314,0.043,0.032,0.0536
3.44,,2.126,0.317,0.039,0.031,0.0498
3.436,,2.175,0.267,0.039,0.03,0.0492
3.44,,2.225,0.403,0.038,0.029,0.0478
3.437,,2.276,0.292,0.038,0.028,0.0472
3.425,,2.325,0.228,0.038,0.027,0.0466
3.433,,2.374,0.253,0.039,0.026,0.0469
3.383,,2.423,0.207,0.044,0.026,0.0511
3.275,,2.472,0.340,0.063,0.025,0.0678
4.111,,1.525,0.548,0.098,0.041,0.1062
4.095,,1.576,0.509,0.085,0.04,0.0939
4.116,,1.627,0.353,0.077,0.039,0.0863
4.094,,1.677,0.300,0.07,0.039,0.0801
4.076,,1.725,0.297,0.069,0.038,0.0788
4.124,,1.774,0.392,0.063,0.037,0.0731
4.107,,1.826,0.509,0.061,0.036,0.0708
4.111,,1.877,0.373,0.061,0.035,0.0703
4.132,,1.925,0.369,0.059,0.035,0.0686
4.094,,1.975,0.374,0.057,0.034,0.0664
4.086,,2.025,0.379,0.054,0.033,0.0633
4.069,,2.076,0.385,0.052,0.033,0.0616
4.083,,2.126,0.332,0.055,0.032,0.0636
4.053,,2.175,0.299,0.057,0.031,0.0649
3.999,,2.225,0.278,0.063,0.03,0.0698
3.945,,2.274,0.356,0.072,0.03,0.078
3.891,,2.321,0.362,0.088,0.029,0.0927
4.87,,1.676,0.445,0.092,0.04,0.1003
4.854,,1.726,0.323,0.089,0.039,0.0972
4.827,,1.775,0.366,0.093,0.038,0.1005
4.821,,1.824,0.475,0.094,0.038,0.1014
1.064,0.158,,0.072,0.025,0.02,0.032
1.214,0.17,,0.087,0.009,0.018,0.0201
1.415,0.18,,0.093,0.009,0.016,0.0184
1.616,0.193,,0.108,0.021,0.015,0.0258
1.265,0.214,,0.097,0.024,0.023,0.0332
1.441,0.223,,0.123,0.01,0.022,0.0242
1.705,0.224,,0.122,0.009,0.018,0.0201
1.956,0.238,,0.151,0.016,0.017,0.0233
1.471,0.271,,0.176,0.018,0.026,0.0316
1.714,0.273,,0.153,0.012,0.024,0.0268
2.039,0.274,,0.183,0.01,0.021,0.0233
2.34,0.285,,0.188,0.018,0.02,0.0269
1.515,0.316,,0.191,0.045,0.028,0.053
1.712,0.323,,0.209,0.017,0.028,0.0328
2.043,0.324,,0.21,0.013,0.026,0.0291
2.429,0.324,,0.236,0.012,0.023,0.0259
2.764,0.335,,0.2,0.025,0.022,0.0333
1.727,0.373,,0.21,0.024,0.029,0.0376
2.046,0.373,,0.259,0.018,0.029,0.0341
2.432,0.374,,0.228,0.015,0.027,0.0309
2.878,0.375,,0.255,0.015,0.025,0.0292
3.254,0.389,,0.239,0.045,0.025,0.0515
1.762,0.423,,0.267,0.035,0.032,0.0474
2.054,0.423,,0.281,0.024,0.03,0.0384
2.436,0.424,,0.27,0.019,0.03,0.0355
2.896,0.425,,0.303,0.017,0.028,0.0328
3.393,0.426,,0.271,0.021,0.027,0.0342
1.797,0.473,,0.291,0.05,0.035,0.061
2.05,0.473,,0.333,0.029,0.034,0.0447
2.434,0.474,,0.321,0.025,0.032,0.0406
2.892,0.474,,0.276,0.022,0.031,0.038
3.448,0.474,,0.321,0.021,0.03,0.0366
3.917,0.48,,0.29,0.042,0.03,0.0516
1.818,0.523,,0.368,0.082,0.037,0.09
2.04,0.524,,0.365,0.035,0.037,0.0509
2.437,0.524,,0.322,0.029,0.035,0.0455
2.91,0.524,,0.389,0.027,0.033,0.0426
3.456,0.523,,0.292,0.025,0.032,0.0406
4.032,0.526,,0.359,0.032,0.032,0.0453
2.053,0.574,,0.445,0.045,0.039,0.0595
2.446,0.573,,0.363,0.035,0.037,0.0509
2.911,0.573,,0.399,0.031,0.036,0.0475
3.469,0.574,,0.368,0.031,0.034,0.046
4.115,0.574,,0.362,0.032,0.034,0.0467
