Q2,x,Eb,g1,dg1(stat),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot)
5.0,0.015,48.35,-1.103,0.257,,,,
5.0,0.025,48.35,-0.277,0.152,,,,
5.0,0.035,48.35,-0.194,0.116,,,,
5.0,0.05,48.35,-0.178,0.091,,,,
5.0,0.08,48.35,-0.148,0.051,,,,
5.0,0.125,48.35,-0.065,0.03,,,,
5.0,0.175,48.35,-0.047,0.032,,,,
5.0,0.25,48.35,-0.017,0.017,,,,
5.0,0.35,48.35,0.016,0.019,,,,
5.0,0.5,48.35,0.003,0.01,,,,
5.0,0.75,48.35,0.004,0.005,,,,
1.22,0.015,48.35,-2.7403,0.8111,-0.125,0.037,0.006,0.0375
1.59,0.025,48.35,-0.5393,0.4825,-0.038,0.034,0.007,0.0347
2.05,0.035,48.35,-0.429,0.3646,-0.04,0.034,0.008,0.0349
2.58,0.05,48.35,-0.4312,0.2874,-0.054,0.036,0.011,0.0376
4.01,0.05,48.35,-7.4305,3.4885,-0.852,0.4,0.012,0.4002
3.24,0.08,48.35,-0.2037,0.1985,-0.039,0.038,0.016,0.0412
5.36,0.08,48.35,-0.8865,0.271,-0.157,0.048,0.017,0.0509
4.03,0.125,48.35,-0.117,0.179,-0.034,0.052,0.024,0.0573
7.17,0.125,48.35,-0.2396,0.1234,-0.066,0.034,0.025,0.0422
10.99,0.125,48.35,-1.5885,0.8896,-0.425,0.238,0.028,0.2396
4.62,0.175,48.35,-0.2135,0.2571,-0.088,0.106,0.035,0.1116
8.9,0.175,48.35,-0.1915,0.1393,-0.077,0.056,0.036,0.0666
13.19,0.175,48.35,-0.0251,0.274,-0.01,0.109,0.039,0.1158
5.06,0.25,48.35,-0.011,0.1786,-0.007,0.114,0.053,0.1257
10.64,0.25,48.35,-0.0412,0.0855,-0.027,0.056,0.055,0.0785
17.21,0.25,48.35,-0.0,0.0,-0.069,0.075,0.057,0.0942
5.51,0.35,48.35,0.1493,0.2621,0.164,0.288,0.079,0.2986
12.6,0.35,48.35,0.0841,0.1061,0.103,0.13,0.082,0.1537
22.73,0.35,48.35,0.0,0.0,0.055,0.161,0.086,0.1825
5.77,0.5,48.35,0.0601,0.1617,0.155,0.417,0.117,0.4331
14.02,0.5,48.35,0.0054,0.0589,0.017,0.187,0.123,0.2238
26.86,0.5,48.35,0.0,0.0,0.057,0.309,0.125,0.3333
15.7,0.75,48.35,0.0052,0.0065,0.616,0.775,0.144,0.7883
34.72,0.75,48.35,0.0021,0.0264,0.254,3.141,0.138,3.144